IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),numeric,AFR,Africa,Country,AGO,Angola,Year,2022,true,,,,,,,,,,,,,11,,,,,,11,,,EN,2024-05-20T07:00:00.000Z
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),numeric,AFR,Africa,Country,ZAF,South Africa,Year,2022,true,,,,,,,,,,,,,1168,,,,,,1168,,Value obtained from Licensed to Practice,EN,2024-05-20T07:00:00.000Z
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),numeric,AFR,Africa,Country,NER,Niger,Year,2022,true,,,,,,,,,,,,,136,,,,,,136,,,EN,2024-05-20T07:00:00.000Z
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),numeric,AFR,Africa,Country,GAB,Gabon,Year,2022,true,,,,,,,,,,,,,155,,,,,,155,,,EN,2024-05-20T07:00:00.000Z
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2022,true,,,,,,,,,,,,,163,,,,,,163,,,EN,2024-05-20T07:00:00.000Z
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),numeric,AMR,Americas,Country,URY,Uruguay,Year,2022,true,,,,,,,,,,,,,17,,,,,,17,,,EN,2024-05-20T07:00:00.000Z
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2022,true,,,,,,,,,,,,,1791,,,,,,1791,,,EN,2024-05-20T07:00:00.000Z
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2022,true,,,,,,,,,,,,,180,,,,,,180,,,EN,2024-05-20T07:00:00.000Z
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),numeric,AMR,Americas,Country,PER,Peru,Year,2022,true,,,,,,,,,,,,,185,,,,,,185,,Value obtained from Professionally Active,EN,2024-05-20T07:00:00.000Z
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2022,true,,,,,,,,,,,,,20392,,,,,,20 392,,,EN,2024-05-20T07:00:00.000Z
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2022,true,,,,,,,,,,,,,233,,,,,,233,,,EN,2024-05-20T07:00:00.000Z
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,,,,,,,,,,,,,2367,,,,,,2367,,,EN,2024-05-20T07:00:00.000Z
